id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<No. of pub. (2000-2018)>	score<Avg. pub. year>
1	1	"<table><tr><td>Meso-level field:</td><td>1</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of biological chemistry; american journal of physiology-heart and circulatory physiology; journal of immunology; biochemical and biophysical research communications; plos one</td></tr><tr><td>Terms:</td><td>naadp; suicidal erythrocyte death; stim1; orai1; agmatine</td></tr></table>"	-0.642	-0.1343	2	780	3911807	198178	2006.6686
2	2	"<table><tr><td>Meso-level field:</td><td>2</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>organic letters; tetrahedron letters; journal of organic chemistry; tetrahedron; journal of the american chemical society</td></tr><tr><td>Terms:</td><td>asymmetric transfer hydrogenation; alpha aminophosphonate; baylis hillman adduct; photoredox catalysis; enantioselective addition</td></tr></table>"	0.4764	-0.4529	3	763	2196950	173214	2009.816
3	3	"<table><tr><td>Meso-level field:</td><td>3</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>astrophysical journal; monthly notices of the royal astronomical society; astronomy & astrophysics; astronomical journal; astrophysical journal letters</td></tr><tr><td>Terms:</td><td>ngc; star formation; outburst; protoplanetary disk; planetary nebulae</td></tr></table>"	1.357	0.0642	3	701	540366	153393	2009.6631
4	4	"<table><tr><td>Meso-level field:</td><td>4</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>journal of geophysical research-solid earth; earth and planetary science letters; tectonophysics; geophysical journal international; geophysical research letters</td></tr><tr><td>Terms:</td><td>eclogite; zircon u pb age; petrogenesis; north china craton; hf isotope</td></tr></table>"	0.6133	0.0874	4	773	874280	147319	2010.0063
5	5	"<table><tr><td>Meso-level field:</td><td>5</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Journals:</td><td>journal of banking & finance; applied economics; economics letters; applied economics letters; economic modelling</td></tr><tr><td>Terms:</td><td>exchange rate volatility; unit root; power parity; stochastic volatility model; earnings management</td></tr></table>"	-0.1829	0.8266	1	769	606020	134547	2010.7999
6	6	"<table><tr><td>Meso-level field:</td><td>6</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>journal of chemical physics; journal of physical chemistry a; chemical physics letters; physical chemistry chemical physics; journal of molecular structure</td></tr><tr><td>Terms:</td><td>tilde; cluster method; photodissociation dynamic; waals complex; microwave spectrum</td></tr></table>"	0.7906	-0.3289	3	772	1722124	134060	2008.6266
7	7	"<table><tr><td>Meso-level field:</td><td>7</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Journals:</td><td>journal of business research; industrial marketing management; international journal of human resource management; strategic management journal; research policy</td></tr><tr><td>Terms:</td><td>leader member exchange; technology acceptance model; virtual team; entrepreneurial intention; abusive supervision</td></tr></table>"	-0.2179	0.8151	1	778	1313950	125382	2010.7549
8	8	"<table><tr><td>Meso-level field:</td><td>8</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>animal behaviour; plos one; journal of wildlife management; proceedings of the royal society b-biological sciences; behavioral ecology and sociobiology</td></tr><tr><td>Terms:</td><td>personality; chick; zebra finch; extra pair paternity; vigilance</td></tr></table>"	0.0518	0.0334	4	774	1404995	124532	2009.9595
9	9	"<table><tr><td>Meso-level field:</td><td>9</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>physical review d; physics letters b; journal of high energy physics; physical review c; nuclear physics a</td></tr><tr><td>Terms:</td><td>lattice qcd; pp collision; j psi; qcd sum rule; root</td></tr></table>"	1.3591	0.0608	3	696	377544	117916	2009.0505
10	10	"<table><tr><td>Meso-level field:</td><td>10</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>brain research; neuroscience; psychopharmacology; behavioural brain research; european journal of pharmacology</td></tr><tr><td>Terms:</td><td>endomorphin; kisspeptin; nociceptin; nociceptin orphanin fq; pacap</td></tr></table>"	-0.6221	0.0562	2	778	2473559	115757	2008.3339
